,Long,Lat,Code,Campground,Type,City,State
,32.881,-87.446,PYLS,Payne Lake Spillway,NF,Duncanville,AL
,32.889,-87.444,PYLW,Payne Lake West Side,NF,Duncanville,AL
,33.235,-88.304,PICK,Pickensville,COE,Carrollton,AL
,33.725,-85.604,PINE,Pine Glen,NF,Heflin,AL
,34.392,-87.987,PINP,Piney Point,UTIL,Hodges,AL
,34.574,-86.938,POIN,Point Mallard City Campground,CP,Decatur,AL
,32.338,-86.77,PRAI,Prairie Creek,COE,Lowndesboro,AL
,34.693,-86.64,REDS,Redstone Arsenal RV Military,MIL,Huntsville,AL
,33.876,-86.865,RICK,Rickwood Caverns State Park,SP,Warrior,AL
,32.057,-87.249,ROLA,Roland Cooper State Park,SP,Camden,AL
,32.555,-87.844,RUNA,Runaway Branch,COE,Demopolis,AL
,31.746,-88.144,SERV,Service,COE,,AL
,34.895,-86.442,SHAR,Sharon Johnston Park,CP,New Market,AL
,31.903,-86.678,SHER,Sherling Lake City Park,CP,Greenville.,AL
,31.665,-87.573,SILV,Silver Creek,COE,Gosport,AL
,32.327,-87.01,SIXM,Six Mile Creek,COE,Selma,AL
,34.519,-87.918,SLIC,Slick Rock - Bear Creek Auth,AUTH,Russellville,AL
,34.622,-87.797,SMAL,Small Point - Cane Creek Canyon,PR,Tuscumbia,AL
,34.081,-86.948,SMIT,Smith Lake County Park,CP,Cullman,AL
,32.592,-85.302,SPRI,Spring Villa Campground,CP,Opelika,AL
,31.561,-88.04,STEP,St. Stephens Historical Park,CP,St. Stephens,AL
,34.853,-85.832,STEV,Stevenson Municipal Park - Guntersville Reservoir,CP,Stevenson,AL
,32.872,-88.185,SUMT,Sumter Rec Area,COE,Livingston,AL
,33.251,-87.068,TANN,Tannehill Ironworks Historical State Park,SP,McCalla,AL
,33.444,-85.842,TURN,Turnipseed Hunter Camp,NF,Oxford,AL
,34.809,-87.629,VETE,Veterans Memorial Park, ,Florence,AL
,31.777,-85.147,WHIT,White Oak Creek,COE,Eufaula,AL
,34.417,-87.907,WILL,Williams Hollow,UTIL,Spruce Pine,AL
,34.788,-87.63,WILS,Wilson Dam - Lower Rockpile,TVA,Muscle Shoals-,AL
,32.854,-85.925,WIND,Wind Creek State Park,SP,Alexander City,AL
,34.373,-93.879,ALBE,Albert Pike,NF,Langley,AR
,33.62,-93.861,ALLE,Allens Ferry at Little River,CP,Fulton,AR
,34.259,-93.245,ALPI,Alpine Ridge - De Gray Lake,COE,Arkadelphia,AR
,34.274,-93.192,ARLI,Arlie Moore - De Gray Lake,COE,Arkadelphia,AR
,34.245,-93.801,ARRO,Arrowhead Point, ,Kirby,AR
,35.468,-93.822,AUXA,Aux Arc,COE,Ozark,AR
,34.637,-93.383,AVAN,Avant - Lake Ouachita,COE,Jessieville,AR
,34.391,-94.013,BARD,Bard Springs,NF,Athens,AR
,36.019,-92.249,BARK,Barkshed,NF,Mountain View,AR
,35.524,-92.944,BAYO,Bayou Bluff,NF,Jerusalem,AR
,34.237,-93.668,BEAC,Bear Creek, ,Kirby,AR
,33.706,-93.936,BEAB,Beards Bluff - Millwood Lake,COE,Ashdown,AR
,33.698,-93.944,BEAL,Beards Lake - Millwood Lake,COE,Ashdown,AR
,36.474,-93.767,BEAV,Beaver Town Park,CP,Beaver,AR
,34.711,-90.697,BEEC,Beech Point,NF,Marianna,AR
,36.36,-93.564,BERR,Berryville RV Park,CP,Berryville,AR
,36.386,-92.237,BIDW,Bidwell Point - Norfolk Lake,COE,Mountain Home,AR
,34.685,-93.812,BIGB,Big Brushy,NF,Pencil Bluff,AR
,34.222,-94.243,BIGC,Big Coon Creek - Gillham Lake,COE,Wickes,AR
,34.606,-93.414,BIGF,Big Fir,COE,Mount Ida,AR
,35.974,-92.177,BLAN,Blanchard Springs,NF,Fifty Six,AR
,34.196,-94.093,BLUR,Blue Ridge - Dierks Lake,COE,Dierks,AR
,35.14,-93.916,BOON,Booneville Municipal Park,CP,Booneville,AR
,34.58,-93.263,BRAD,Brady Mountain - Lake Ouachita,COE,Hot Springs,AR
,35.49,-92.808,BROC,Brock Creek,NF,Jerusalem,AR
,36.488,-92.794,BUCK,Buck Creek - Bull Shoals Lake,COE,Protem,AR
,34.179,-93.731,BUCH,Buckhorn - Lake Greeson,COE,Murfreesboro,AR
,34.613,-93.342,BUCV,Buckville - Lake Ouachita,COE,Avant,AR
,36.073,-92.557,BUFP,Buffalo Point - Buffalo National River,NP,Yellville,AR
,36.356,-92.591,BULS,Bull Shoals State Park,SP,Bull Shoals,AR
,34.797,-92.314,BURN,Burns Park,CP,,AR
,34.27,-93.181,CADD,Caddo Drive - De Gray Lake,COE,Arkadelphia,AR
,35.176,-93.646,CAME,Cameron Bluff, ,Paris,AR
,34.831,-92.285,CAMP,Camp Robinson RV Military,MIL,,AR
,35.388,-93.503,CANC,Cane Creek - Lake Dardanelle,COE,Scranton,AR
,33.933,-91.833,CANE,Cane Creek State park,SP,Star City,AR
,34.962,-93.239,CART,Carter Cove,COE,Plainview,AR
,35.984,-93.042,CARV,Carver - Buffalo National River,NP,Hasty,AR
,34.663,-93.286,CEDF,Cedar Fourche - Lake Ouachita,COE,,AR
,34.535,-93.08,CEDA,Cedar Glades Park,CP,Hot Springs,AR
,35.286,-94.049,CHAR,Charleston Lake,CP,Charleston,AR
,34.517,-93.383,CHAR,Charlton,NF,Crystal Springs,AR
,35.128,-92.787,CHEK,Cherokee,COE,Morrilton,AR
,35.555,-92.076,CHER,Cherokee - Greers Ferry Lake,COE,Greers Ferry,AR
,33.281,-91.225,CHIC,Chicot County RV Park,CP,Lake Village,AR
,35.536,-92.382,CHOC,Choctaw - Greers Ferry Lake,COE,Heber Springs,AR
,35.463,-93.946,CITA,Citadel Bluff, ,Cecil,AR
