,Lat,Long,Code,Campground,Type,City,State
,37.77,-107.977,CAYT,Cayton,NF,Rico,CO
,38.047,-107.1,CEBO,Cebolla,NF,Lake City,CO
,38.828,-106.837,CEME,Cement Creek,NF,Crested Butte,CO
,38.713,-106.233,CHAL,Chalk Lake,NF,Nathrop,CO
,40.597,-105.852,CHAM,Chambers Lake,NF,Rustic,CO
,39.309,-106.637,CHAP,Chapman,NF,Basalt,CO
,40.186,-107.091,CHAR,Chapman Reservoir,NF,Yampa,CO
,39.539,-105.063,CHAT,Chatfield State Park,SP,Littleton,CO
,39.647,-104.829,CHER,Cherry Creek State Park,SP,Aurora,CO
,38.738,-104.809,CHEY,Cheyenne Mountain State Park,SP,Colorado Sprin,CO
,38.442,-107.554,CIMA,Cimarron - Curecanti National Rec Area,NRA,Cimarron,CO
,37.539,-107.209,CIMR,Cimarrona,NF,Pagosa Springs,CO
,39.754,-105.231,CLEA,Clear Creek RV Park,CP,Golden,CO
,39.652,-105.708,CLEA,Clear Lake,NF,Georgetown,CO
,38.334,-105.804,COAL,Coaldale,NF,Salida,CO
,39.676,-107.204,COFF,Coffee Pot Spring,NF,Gypsum,CO
,38.767,-106.642,COLD,Cold Spring,NF,Almont,CO
,40.03,-107.119,COL1,Cold Springs,NF,Yampa,CO
,39.842,-105.497,COL2,Cold Springs,NF,Black Hawk,CO
,39.081,-107.957,COLC,Collbran - Cottonwood Lake,NF,Cedaredge,CO
,38.813,-106.316,COLP,Collegiate Peaks,NF,Buena Vista,CO
,39.08,-105.094,COLO,Colorado,NF,Woodland Park,CO
,39.817,-105.549,COLB,Columbine,NF,Central City,CO
,38.424,-108.381,COLU,Columbine,NF,Montrose,CO
,38.599,-106.603,COMM,Comanche,NF,Ohio City,CO
,37.445,-106.362,COMS,Comstock,NF,Monte Vista,CO
,37.171,-106.444,CONE,Conejos,NF,Antonito,CO
,38.782,-106.292,COTW,Cottonwood Lake,NF,Buena Vista,CO
,38.909,-105.461,COVE,Cove,NF,Woodland Park,CO
,39.875,-106.279,COWC,Cow Creek,NF,Silverthorne,CO
,38.871,-105.12,CRAG,Crags,NF,Divide,CO
,38.688,-107.599,CRAW,Crawford State Park,SP,Crawford,CO
,40.81,-108.923,CROO,Crook - Browns Wildlife Area,SFW,Maybell,CO
,40.17,-107.052,CROH,Crosho Lake Recreation Area,NF,Oak Creek,CO
,37.581,-106.65,CROS,Cross Creek,NF,South Fork,CO
,40.644,-104.343,CROW,Crow Valley,NF,Fort Collins,CO
,38.055,-105.071,DAVE,Davenport,NF,Colorado City,CO
,39.838,-106.231,DAVI,Davis Springs,NF,Silverthorne,CO
,39.361,-106.738,DEAR,Dearhamer,NF,Basalt,CO
,39.772,-107.302,DEEK,Deep Lake,NF,Gypsum,CO
,39.508,-105.554,DEER,Deer Creek,NF,Bailey,CO
,38.022,-107.188,DEEL,Deer Lakes,NF,Lake City,CO
,40.45,-108.523,DEEP,Deerlodge Park - Dinosaur National Monument,NM,Maybell,CO
,37.683,-106.353,DEL,Del Norte City Park,CP,Del Norte,CO
,40.255,-106.079,DENV,Denver Creek,NF,Granby,CO
,39.271,-105.103,DEVI,Devils Head,NF,Sedalia,CO
,39.092,-106.325,DEXT,Dexter,NF,,CO
,39.141,-106.774,DIFF,Difficult,NF,Aspen,CO
,38.905,-106.587,DINN,Dinner Station,NF,Almont,CO
,38.684,-108.689,DIVI,Divide Fork,NF,Grand Junction,CO
,38.965,-106.663,DORC,Dorchester,NF,Almont,CO
,40.791,-105.557,DOWD,Dowdy Lake,NF,Red Feather Lakes,CO
,38.481,-107.187,DRYG,Dry Gulch - Curecanti Area,NP,Gunnison,CO
,40.536,-106.781,DRYL,Dry Lake,NF,Steamboat Springs,CO
,40.435,-107.896,DUFF,Duffy Mountain - Yampa River State Park,SP,Craig,CO
,40.405,-106.627,DUMO,Dumont Lake,NF,Steamboat Springs,CO
,40.697,-105.444,DUTC,Dutch George,NF,Fort Collins,CO
,39.215,-107.811,EARL,Early Settlers - Vega State Park,SP,Collbran,CO
,39.613,-102.17,EASB,East Beach - Bonny Lake State Park,SP,Idalia,CO
,40.482,-108.321,EASC,East Cross Mountain - Yampa River State Park,SP,Maybell,CO
,37.377,-106.889,EASF,East Fork,NF,Pagosa Springs,CO
,40.011,-107.426,EASM,East Marvine,NF,Meeker,CO
,38.525,-107.65,EASP,East Portal - Curecanti National Rec Area,NRA,Gunnison,CO
