,Lat,Long,Code,Campground,Type,City,State
,45.861,-114.738,PAR2,Paradise,NF,DarbyMT,ID
,42.207,-111.494,PARI,Paris Springs,NF,Paris,ID
,44.117,-115.58,PRC2,Park Creek,NF,Lowman,ID
,43.836,-114.258,PRC1,Park Creek,NF,Ketchum,ID
,43.781,-116.934,PARM,Parma City Park - Old Fort Boise,CP,Parma,ID
,46.784,-116.149,PART,Partridge Creek Camp,NF,Elk River,ID
,44.626,-115.526,PENN,Pen Basin,NF,Landmark,ID
,42.183,-114.281,PETT,Pettit,NF,Rogerson,ID
,43.982,-114.866,PETL,Pettit Lake,NF,Stanley,ID
,43.859,-114.218,PHIK,Phi Kappa,NF,Ketchum,ID
,44.654,-115.668,PICN,Picnic Point,NF,Cascade,ID
,42.972,-111.208,PINB,Pine Bar,NF,,ID
,45.894,-116.352,PNBR,Pine Bar,BLM,Cottonwood,ID
,43.573,-111.207,PINC,Pine Creek,NF,Victor,ID
,44.064,-115.682,PINF,Pine Flats,NF,Lowman,ID
,43.489,-114.831,PION,Pioneer,NF,Fairfield,ID
,42.741,-112.9,PIPE,Pipeline,BLM,American Falls,ID
,45.635,-116.478,PITT,Pittsburg,NF,White Bird,ID
,45.636,-116.478,PITS,Pittsburg Landing  - Hells Canyon National Rec Area,NF,White Bird,ID
,45.723,-115.034,POET,Poet Creek,NF,Dixie,ID
,44.139,-114.925,POIN,Point,NF,Stanley,ID
,44.261,-111.289,POLB,Pole Bridge,NF,,ID
,44.304,-114.719,POLF,Pole Flat C/G,NF,Clayton,ID
,45.062,-115.76,POND,Ponderosa,NF,Cascade,ID
,44.93,-116.084,PONS,Ponderosa State Park,SP,McCall,ID
,42.095,-111.518,PORC,Porcupine,NF,St. Charles,ID
,48.244,-116.185,PORL,Porcupine Lake,NF,Clark Fork,ID
,42.166,-114.262,PORS,Porcupine Springs Family,NF,Burley,ID
,44.823,-115.704,POVE,Poverty Flat,NF,Cascade,ID
,46.512,-114.721,POWE,Powell,NF,Lowell,ID
,43.815,-115.104,POWL,Power Plant,NF,Lowman,ID
,48.745,-116.83,PRI3,Priest Lake State Park,SP,Coolin,ID
,48.611,-116.832,PRI2,Priest Lake State Park,SP,Coolin,ID
,48.452,-116.901,PRI1,Priest Lake State Park,SP,Priest River,ID
,48.179,-116.89,PRIR,Priest River Park,COE,Priest River,ID
,43.821,-115.21,QUEE,Queens River,NF,Idaho City,ID
,46.046,-115.295,RACE,Race Track,NF,Lowell,ID
,46.085,-115.494,RACK,Rackliff,NF,Lowell,ID
,44.704,-116.132,RAIN,Rainbow Point,NF,Donnelly,ID
,44.266,-115.88,RATT,Rattlesnake,NF,Crouch,ID
,45.749,-115.272,REDR,Red River,NF,Elk City,ID
,44.143,-114.911,REDO,Redfish Outlet,NF,Stanley,ID
,42.285,-111.731,REDP,Redpoint,BLM,Preston,ID
,48.625,-116.891,REED,Reeder Bay,NF,Priest River,ID
,45.121,-113.454,RESE,Reservoir Lake,NF,,ID
,48.16,-116.771,RILE,Riley Creek,COE,Laclede,ID
,46.23,-116.018,RIVF,Riverfront Park - Kamiah,CP,Kamiah,ID
,44.263,-111.455,RIV4,Riverside,NF,Ashton,ID
,44.267,-114.849,RIV3,Riverside,NF,Stanley,ID
,43.809,-115.13,RIV2,Riverside,NF,,ID
,44.341,-115.658,RIV6,Riverside,NF,Lowman,ID
,43.339,-111.204,RIV5,Riverside Park,NF,Irwin,ID
,46.754,-116.907,ROBI,Robinson County Park,CP,Moscow,ID
,48.97,-116.216,ROBI,Robinson Lake,NF,Bonners Ferry,ID
,42.566,-114.5,ROCC,Rock Creek Co Park,CP,Twin Falls,ID
,46.442,-115.491,ROCR,Rocky Ridge,NF,Pierce,ID
,48.635,-116.569,ROMA,Roman Nose,NF,Naples,ID
,48.166,-116.636,ROUN,Round Lake State Park,SP,Sagle,ID
,44.334,-116.174,SAGE,Sagehen Creek,NF,Cascade,ID
,43.02,-111.826,SAGF,Sagehen Flat,BLM,Soda Springs,ID
