,Long,Lat,Code,Campground,Type,City,State
,38.198,-75.156,OCEA,Oceanside - Assateague National Seashore,NP,Berlin,MD
,39.653,-77.488,OWEN,Owens Creek - Catoctin Mountain National Park,NP,Sabillasville,MD
,38.063,-76.331,POIN,Point Lookout State Park,SP,Scotland,MD
,39.696,-78.651,ROCK,Rocky Gap State Park,SP,Flintstone,MD
,39.619,-79.148,SAVA,Savage River State Forest,SP,Grantsville,MD
,38.134,-75.439,SHAD,Shad  Landing - Pocomoke State Park,SP,Snow Hill,MD
,39.408,-76.28,SKIP,Skippers Point Military,MIL,Gunpowder,MD
,38.554,-77.181,SMAL,Smallwood State Park,SP,Marbury,MD
,38.34,-76.467,SOLO,Solomons Navy Military,MIL,Solomons Islan,MD
,39.564,-78.718,SPRI,Spring Gap - C and O Canal National Park,NP,Cumberland,MD
,39.612,-76.165,SUSQ,Susquehanna State Park,SP,Havre de Grace,MD
,39.499,-79.422,SWAL,Swallow Falls State Park,SP,Oakland,MD
,38.981,-75.932,TUCK,Tuckahoe State Park,SP,Queen Anne,MD
,39.346,-79.269,WALL,Wallman/Laurel Run - Potomac State Forest,SF,Oakland,MD
,45.874,-68.962,ABOL,Abol - Baxter State Park,SP,Millinocket,ME
,46.61,-68.003,AROO,Aroostook State Park,SP,Presque Isle,ME
,44.268,-71.022,BASI,Basin,NF,Gilead,ME
,44.313,-68.214,BLAC,Blackwoods - Acadia National Park,NP,Bar Harbor,ME
,43.9,-70.179,BRAD,Bradbury Mountain State Park,SP,Pownal,ME
,44.23,-69.047,CAMD,Camden Hills State Park,SP,Camden,ME
,44.854,-67.153,COBS,Cobscook Bay State Park,SP,Dennysville,ME
,44.265,-71.013,COLD,Cold River,NF,Fryeburg,ME
,44.31,-70.824,CROC,Crocker Pond,NF,Bethel,ME
,44.953,-68.282,GREA,Great Pond Military,MIL,Great Pond,ME
,44.352,-70.984,HAST,Hastings,NF,Gilead,ME
,45.887,-69.997,KATA,Katahdin Stream - Baxter State Park,SP,Seboomook Lake,ME
,44.398,-69.348,LAKE,Lake St. George State Park,SP,Liberty,ME
,44.456,-68.298,LAMO,Lamoine State Park,SP,Trenton,ME
,45.569,-69.542,LILY,Lily Bay State Park,SP,Greenville,ME
,45.524,-68.264,MATT,Mattawamkeag Wilderness Park,CP,Lincoln,ME
,44.485,-67.859,MCCL,McClellan City Park,CP,Columbia Falls,ME
,44.681,-70.448,MOUN,Mount Blue State Park,SP,Weld,ME
,45.976,-69.078,NESO,Nesowadnehunk Field - Baxter State Park,SP,Millinocket,ME
