,Long,Lat,Code,Campground,Type,City,State
,42.544,-92.063,CUTS,Cutshall Area,CP,Jesup,IA
,43.465,-93.573,DAHL,Dahle Park,CP,Lake Mills,IA
,42.249,-93.043,DAIS,Daisy Long County Park,CP,Union,IA
,42.171,-93.292,DAKI,Dakins Lake County Park,CP,Zearing,IA
,41.629,-94.019,DALL,Dallas County Fairgrounds,CP,Adel,IA
,42.28,-93.068,DAVI,David Bates Memorial Park,CP,Union,IA
,42.009,-96.189,DECA,Decatur Bend Access,CP,Onawa,IA
,41.96,-90.47,DEEP,Deep Creek,CP,Charlotte,IA
,42.643,-96.325,DEER,Deer Ridge - Hillview County Rec Area,CP,Hinton,IA
,42.462,-92.303,DEER,Deerwood City Park,CP,Waterloo,IA
,41.826,-95.338,DEFI,Defiance RV Park,CP,Defiance,IA
,42.95,-94.233,DEVI,Devine Wildlife Area,CP,Algona,IA
,41.593,-92.542,DIAM,Diamond Lake County Park,CP,Montezuma,IA
,42.118,-94.687,DICK,Dickson Timber County Park,CP,Glidden,IA
,42.935,-95.474,DOG,Dog Creek Co Park,CP,Sutherland,IA
,42.387,-94.083,DOLL,Dolliver Memorial State Park,SP,Otho,IA
,42.12,-94.027,DONW,Don Williams Park,CP,Ogden,IA
,43.163,-95.705,DOUM,Douma Co Park,CP,Sanborn,IA
,42.741,-92.046,DOWN,Downing County Park,CP,Westgate,IA
,42.654,-93.508,DOWS,Dows Pool Park,CP,Dows,IA
,40.802,-92.479,DRAK,Drakesville City Park,CP,Bloomfield,IA
,42.523,-90.641,DUBU,Dubuque Yacht Basin and RV Park,CP,Dubuque,IA
,42.996,-91.771,DUTT,Duttons Cave Co Park,CP,West Union,IA
,42.472,-93.146,EAGL,Eagle City County Park,CP,Iowa Falls,IA
,41.033,-93.744,EASL,East Lake Co Park,CP,Osceola,IA
,43.134,-95.138,EAST,East Leach City Park,CP,Spencer,IA
,42.047,-90.855,EDEN,Eden Valley Park,CP,Baldwin,IA
,41.68,-91.551,EDGE,Edgewater City Park,CP,Iowa City,IA
,42.645,-91.399,EDGW,Edgewood Campground,CP,Edgewood,IA
,42.739,-94.669,ELBE,Elbert Park,CP,Pocahontas,IA
,42.941,-93.56,ELDR,Eldred Sherwood Park,CP,Goodell,IA
,41.399,-93.086,ELKR,Elk Rock State Park,SP,Sweetwater,IA
,42.852,-91.398,ELKA,Elkader City Park,CP,Elkader,IA
,41.57,-95.09,ELKH,Elkhorn Creek Rec Area,CP,Elk Horn,IA
,43.355,-95.175,EMER,Emerson Bay State Rec Area,SRA,Milford,IA
